Date,AAPL,MSFT,NVDA,TSLA,VOO,AMZN,GOOGL,META,BRK-B,JPM
2023-01-03,125.06999969482422,239.5800018310547,14.3149995803833,108.0999984741211,349.989990234375,85.81999969482422,89.12000274658203,124.73999786376953,309.9100036621094,135.1199951171875
2023-01-04,126.36000061035156,229.10000610351562,14.74899959564209,113.63999938964844,352.510009765625,85.13999938964844,88.08000183105469,127.37000274658203,314.54998779296875,136.3800048828125
2023-01-05,125.0199966430664,222.30999755859375,14.265000343322754,110.33999633789062,348.6600036621094,83.12000274658203,86.19999694824219,126.94000244140625,312.8999938964844,135.35000610351562
2023-01-06,129.6199951171875,224.92999267578125,14.859000205993652,113.05999755859375,356.5899963378906,86.08000183105469,87.33999633789062,130.02000427246094,318.69000244140625,137.94000244140625
2023-01-09,130.14999389648438,227.1199951171875,15.628000259399414,119.7699966430664,356.3299865722656,87.36000061035156,88.0199966430664,129.47000122070312,315.5299987792969,137.3699951171875
2023-01-10,130.72999572753906,228.85000610351562,15.909000396728516,118.8499984741211,358.8699951171875,89.87000274658203,88.41999816894531,132.99000549316406,316.3500061035156,138.60000610351562
2023-01-11,133.49000549316406,235.77000427246094,16.000999450683594,123.22000122070312,363.45001220703125,95.08999633789062,91.5199966430664,132.88999938964844,320.3699951171875,139.6300048828125
2023-01-12,133.41000366210938,238.50999450683594,16.51099967956543,123.55999755859375,364.80999755859375,95.2699966430664,91.12999725341797,136.7100067138672,318.92999267578125,139.49000549316406
2023-01-13,134.75999450683594,239.22999572753906,16.89900016784668,122.4000015258789,366.2300109863281,98.12000274658203,92.12000274658203,136.97999572753906,317.6400146484375,143.00999450683594
2023-01-17,135.94000244140625,240.35000610351562,17.70199966430664,131.49000549316406,365.6700134277344,96.05000305175781,91.29000091552734,135.36000061035156,314.8599853515625,140.8000030517578
2023-01-18,135.2100067138672,235.80999755859375,17.37700080871582,128.77999877929688,359.7300109863281,95.45999908447266,91.12000274658203,133.02000427246094,308.29998779296875,136.57000732421875
2023-01-19,135.27000427246094,231.92999267578125,16.764999389648438,127.16999816894531,357.1400146484375,93.68000030517578,93.05000305175781,136.14999389648438,305.2300109863281,134.75
2023-01-20,137.8699951171875,240.22000122070312,17.839000701904297,133.4199981689453,363.7099914550781,97.25,98.0199966430664,139.3699951171875,309.8699951171875,135.0800018310547
2023-01-23,141.11000061035156,242.5800018310547,19.19300079345703,143.75,368.1400146484375,97.5199966430664,99.79000091552734,143.27000427246094,310.4200134277344,137.27000427246094
2023-01-24,142.52999877929688,242.0399932861328,19.264999389648438,143.88999938964844,367.75,96.31999969482422,97.69999694824219,143.13999938964844,311.29998779296875,138.4499969482422
2023-01-25,141.86000061035156,240.61000061035156,19.322999954223633,144.42999267578125,367.8800048828125,97.18000030517578,95.22000122070312,141.5,311.8999938964844,139.1199951171875
2023-01-26,143.9600067138672,248.0,19.802000045776367,160.27000427246094,371.80999755859375,99.22000122070312,97.5199966430664,147.3000030517578,310.95001220703125,139.97999572753906
2023-01-27,145.92999267578125,248.16000366210938,20.364999771118164,177.89999389648438,372.8699951171875,102.23999786376953,99.37000274658203,151.74000549316406,309.1700134277344,140.32000732421875
2023-01-30,143.0,242.7100067138672,19.16200065612793,166.66000366210938,368.2099914550781,100.55000305175781,96.94000244140625,147.05999755859375,307.3299865722656,139.1300048828125
2023-01-31,144.2899932861328,247.80999755859375,19.53700065612793,173.22000122070312,373.44000244140625,103.12999725341797,98.83999633789062,148.97000122070312,311.5199890136719,139.9600067138672
2023-02-01,145.42999267578125,252.75,20.94300079345703,181.41000366210938,377.5299987792969,105.1500015258789,100.43000030517578,153.1199951171875,310.57000732421875,139.58999633789062
2023-02-02,150.82000732421875,264.6000061035156,21.708999633789062,188.27000427246094,382.94000244140625,112.91000366210938,107.73999786376953,188.77000427246094,311.8599853515625,138.94000244140625
2023-02-03,154.5,258.3500061035156,21.100000381469727,189.97999572753906,378.8500061035156,103.38999938964844,104.77999877929688,186.52999877929688,308.510009765625,141.08999633789062
2023-02-06,151.72999572753906,256.7699890136719,21.089000701904297,194.75999450683594,376.6600036621094,102.18000030517578,102.9000015258789,186.05999755859375,308.42999267578125,141.9199981689453
2023-02-07,154.64999389648438,267.55999755859375,22.17300033569336,196.80999755859375,381.5199890136719,102.11000061035156,107.63999938964844,191.6199951171875,312.9700012207031,143.64999389648438
2023-02-08,151.9199981689453,266.7300109863281,22.204999923706055,201.2899932861328,377.3399963378906,100.05000305175781,99.37000274658203,183.42999267578125,308.4800109863281,142.63999938964844
2023-02-09,150.8699951171875,263.6199951171875,22.336999893188477,207.32000732421875,374.1099853515625,98.23999786376953,95.01000213623047,177.9199981689453,307.2099914550781,140.4199981689453
2023-02-10,151.00999450683594,263.1000061035156,21.264999389648438,196.88999938964844,375.0199890136719,97.61000061035156,94.56999969482422,174.14999389648438,309.8900146484375,141.0399932861328
2023-02-13,153.85000610351562,271.32000732421875,21.788000106811523,194.63999938964844,379.3500061035156,99.54000091552734,94.61000061035156,179.42999267578125,313.739990234375,142.57000732421875
2023-02-14,153.1999969482422,272.1700134277344,22.97100067138672,209.25,379.2099914550781,99.69999694824219,94.68000030517578,179.47999572753906,310.7900085449219,143.1999969482422
2023-02-15,155.3300018310547,269.32000732421875,22.763999938964844,214.24000549316406,380.4800109863281,101.16000366210938,96.94000244140625,177.16000366210938,309.6300048828125,143.8000030517578
2023-02-16,153.7100067138672,262.1499938964844,22.00200080871582,202.0399932861328,375.19000244140625,98.1500015258789,95.51000213623047,172.44000244140625,308.17999267578125,141.82000732421875
